row,title,author,publisher,year,language,source,file
81,The Book Of Loving Sex,Nitya Lacroix,Ultimate Edition Imprint Of Anness Publishing Limited,2017,"[""English""]",open_library,covers/2017_The_Book_Of_Loving_Sex.jpg
82,Maxim (Vol18 No5 June 2014) (Usa Edition),,Maxim Inc.,2017,"[""English""]",placeholder,covers/2017_Maxim_(Vol18_No5_June_2014)_(Usa_Edition)_PLACEHOLDER.jpg
83,Isu Semasa Dalam Risalah: Hukum Barat Pun Islam,Mun`Im A. Sirry/ Al-Mustaqeem Mahmod Radhi,Middle-Eastern Graduates Ceter Sdn. Bhd Dengan Kerjasama Konrad Adenauer Foundation,2017,"[""Malay""]",placeholder,covers/2017_Isu_Semasa_Dalam_Risalah_Hukum_Barat_Pun_Islam_PLACEHOLDER.jpg
84,Isu Semasa Dalam Risalah: Konsep Kebebasan Dan Agama,Al-Mustaqueem Mahmod Radhi,Middle-Eastern Graduates Centre Sdn Bhd Dengan Kerjasama Adenaue Founder,2017,"[""Malay""]",placeholder,covers/2017_Isu_Semasa_Dalam_Risalah_Konsep_Kebebasan_Dan_Agama_PLACEHOLDER.jpg
85,Menuju Reformasi Peruntukan Islam,"Abdullahi Ahmed An-Na`Im / Al-Mustaqeem Mahmod Radhi, Adib Zalkapli, Omarsaid",Middle-Eastern Graduates Center Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Menuju_Reformasi_Peruntukan_Islam_PLACEHOLDER.jpg
86,Zainab Srikandi Cucu Baginda Muhammad S.A.W,Nurfaridah Rubani,Kharisma Network Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Zainab_Srikandi_Cucu_Baginda_Muhammad_S.A.W_PLACEHOLDER.jpg
87,Saucy Seaside Postcards,Alan Wykes,Dolphin Publications,2017,"[""English""]",placeholder,covers/2017_Saucy_Seaside_Postcards_PLACEHOLDER.jpg
88,From Majapahit To Putrajaya: Searching For Another Malaysia,Farish A. Noor,Silverfishbooks,2017,"[""English""]",placeholder,covers/2017_From_Majapahit_To_Putrajaya_Searching_For_Another_Malaysia_PLACEHOLDER.jpg
89,Al-Yahud: Eternal Islamic Enmity & The Jews,Elias Al-Maqdisi & Sam Solomon,Anm Publishers,2017,"[""English""]",placeholder,covers/2017_Al-Yahud_Eternal_Islamic_Enmity_&_The_Jews_PLACEHOLDER.jpg
90,Imam Mahdi Yang Ditunggu Dan Malapetaka Akhir Zaman,Abdul Latif Rafqi,Jasmin Publication,2017,"[""Malay""]",placeholder,covers/2017_Imam_Mahdi_Yang_Ditunggu_Dan_Malapetaka_Akhir_Zaman_PLACEHOLDER.jpg
91,Drive Me Wild,Christine Warren,St. Martin's Press,2017,"[""English""]",open_library,covers/2017_Drive_Me_Wild.jpg
92,28 Hari: Jurnal Rock N' Roll + Anarki Di Kuala Lumpur,Mohd Jayzuan,Lejen Press,2017,"[""Malay""]",placeholder,covers/2017_28_Hari_Jurnal_Rock_N'_Roll_+_Anarki_Di_Kuala_Lumpur_PLACEHOLDER.jpg
93,Habibi,Craig Thompson,"Pantheon Books,",2017,"[""English""]",open_library,covers/2017_Habibi.jpg
94,Humanisme Islam: Kajian Terhadap Pemikiran Filosofis Muhammad Arkoun,Baedhowi M. Ag/ Prof. Dr M. Amin Abdullah,Pustaka Pelajar,2017,"[""Indonesian""]",placeholder,covers/2017_Humanisme_Islam_Kajian_Terhadap_Pemikiran_Filosofis_Muhammad_Arkoun_PLACEHOLDER.jpg
95,Menanti Buah Hati Dan Hadiah Untuk Yang Dinanti,Abdul Hakim Bin Amir (Abu Unaisah),"Pustaka Mu`Awiyah Bin Abi Sufyan,",2017,"[""Indonesian""]",placeholder,covers/2017_Menanti_Buah_Hati_Dan_Hadiah_Untuk_Yang_Dinanti_PLACEHOLDER.jpg
96,Kisah Para Nabi,Abu Al-Fida` Ismail Bin Katsir / M. Abdul Ghoffar,Pustaka Azzam,2017,"[""Indonesian""]",placeholder,covers/2017_Kisah_Para_Nabi_PLACEHOLDER.jpg
97,Bid`Ah Menurut Ahli Sunnah Wal-Jamaah (Di Dalam Buku Ini Terjawab Berbagai Persoalan Bid`Ah) Jilid 1,Ust Rasul Bin Dahri,Syarikat Umul Qura Sdn Bhd.,2017,"[""Malay""]",placeholder,covers/2017_Bid`Ah_Menurut_Ahli_Sunnah_Wal-Jamaah_(Di_Dalam_Buku_Ini_Terjawab_Berbagai_Persoalan_Bid`Ah)_Jilid_1_PLACEHOLDER.jpg
98,Aina Allah? Di Mana Allah,Mohd Hairi Nonchi,Perniagaan Jahabersa,2017,"[""Malay""]",placeholder,covers/2017_Aina_Allah_Di_Mana_Allah_PLACEHOLDER.jpg
99,Piramid: Rahsia Purba Yang Dapat Anda Manfaatkan,Prof. Dr. Mohd Arief Ph.D,Perguruan Seni Bela Diri Cakra Alam Malaysia,2017,"[""Malay""]",placeholder,covers/2017_Piramid_Rahsia_Purba_Yang_Dapat_Anda_Manfaatkan_PLACEHOLDER.jpg
100,Menyingkap Misteri Pulau Besar,Ana Faqir,Penerbitan Seribu Dinar Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Menyingkap_Misteri_Pulau_Besar_PLACEHOLDER.jpg
101,Agama Allah Rahmat Dan Penyelamat Bagi Seluruh Alam,Tuan Abdul Rahim Al Hassaniyah,,2017,"[""Malay""]",placeholder,covers/2017_Agama_Allah_Rahmat_Dan_Penyelamat_Bagi_Seluruh_Alam_PLACEHOLDER.jpg
102,Misteri Merong Maha Wangsa Dan Penyebaran Islam Di Timur ( Part 1) Kisah Khalifah Sharif Yang Di-Pertuan Kedah Dan Legasinya,Megat Al-Jefri,,2017,"[""Malay""]",placeholder,covers/2017_Misteri_Merong_Maha_Wangsa_Dan_Penyebaran_Islam_Di_Timur_(_Part_1)_Kisah_Khalifah_Sharif_Yang_Di-Per_PLACEHOLDER.jpg
103,Kasyaf Al-Haq (Mengenal Allah),Mohd Yusof Cik Wok/ Hj. Shaari Hj. Mohd Yusof,Likur Enterprise,2017,"[""Malay""]",placeholder,covers/2017_Kasyaf_Al-Haq_(Mengenal_Allah)_PLACEHOLDER.jpg
104,Fatimah Az Zahara Wanita Solehah Sinaran Zaman,Rosline Harun/ Nurfaridah Rubani,Kharisma Network Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Fatimah_Az_Zahara_Wanita_Solehah_Sinaran_Zaman_PLACEHOLDER.jpg
105,Berdialog Dengan Jin Islam,Muhammad Isa Dawud/ Suzilawati Abdullah,Hijjaz Records Publishing,2017,"[""Malay""]",placeholder,covers/2017_Berdialog_Dengan_Jin_Islam_PLACEHOLDER.jpg
106,Kisah-Kisah Ghaib Dalam Ahdis Sahih,Prof. Dr. Umar Sulaiman/ Al-Asyqar/ Ruqayyah Mansur/ Arifin Ladari,Berlian Publications Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Kisah-Kisah_Ghaib_Dalam_Ahdis_Sahih_PLACEHOLDER.jpg
107,At-Thariq Ilallah Thariqat Al-Hassaniyyah,Tuan Haji Abdul Rahim Al-Hassaniyyah,An Nisa Publication,2017,"[""Malay""]",placeholder,covers/2017_At-Thariq_Ilallah_Thariqat_Al-Hassaniyyah_PLACEHOLDER.jpg
108,Imam Mahdi Di Ambang Pintu: Kedatangan Yang Ditunggu-Tunggu Jilid 1,Muhammad Isa Dawud/ Dr. Syamsuddin Ali Nasution,Pustaka Syuhada,2017,"[""Malay""]",placeholder,covers/2017_Imam_Mahdi_Di_Ambang_Pintu_Kedatangan_Yang_Ditunggu-Tunggu_Jilid_1_PLACEHOLDER.jpg
109,Imam Mahdi Di Ambang Pintu: Kedatangan Yang Ditunggu-Tunggu Jilid 2,Muhammad Isa Dawud/ Dr. Syamsuddin Ali Nasution,Percetakan Syuhada,2017,"[""Malay""]",placeholder,covers/2017_Imam_Mahdi_Di_Ambang_Pintu_Kedatangan_Yang_Ditunggu-Tunggu_Jilid_2_PLACEHOLDER.jpg
110,The Meaning Of The Holy Quran ( Chinese Translation Edition),,Khawaja Moinuddin Chisti Welfare Association (Kuala Lumpur & Selangor ) Malaysia,2017,"[""Chinese""]",placeholder,covers/2017_The_Meaning_Of_The_Holy_Quran_(_Chinese_Translation_Edition)_PLACEHOLDER.jpg
111,Islam Without Extremes : A Muslim Case For Liberty,Mustafa Akyol,"W.W. Norton & Company, Inc.",2017,"[""English""]",open_library,covers/2017_Islam_Without_Extremes_A_Muslim_Case_For_Liberty.jpg
112,The Quran Modern English Translation,Abdullah Yusuf Ali,Sam Synergy Media Sdn Bhd,2017,"[""English""]",placeholder,covers/2017_The_Quran_Modern_English_Translation_PLACEHOLDER.jpg
113,Translation Of The Quran,Abdullah Yusuf Ali,Multiracial Reverted Muslims,2017,"[""English""]",placeholder,covers/2017_Translation_Of_The_Quran_PLACEHOLDER.jpg
115,Al-Qur'an Translation,Abdullah Yusuf Ali,Knowledge Inbound Sdn. Bhd.,2017,"[""English""]",placeholder,covers/2017_Al-Qur'an_Translation_PLACEHOLDER.jpg
116,Tantra: The Search For Ecstasy,Indra Sinha,"Hamlyn, And Imprint Of Reed Consumer Books Limited,",2017,"[""English""]",placeholder,covers/2017_Tantra_The_Search_For_Ecstasy_PLACEHOLDER.jpg
117,Islam Kemodernan Dan Keindonesiaan,Nurcholish Madjid / Agus Edi Santoso,Penerbit Mizan,2017,"[""Indonesian""]",placeholder,covers/2017_Islam_Kemodernan_Dan_Keindonesiaan_PLACEHOLDER.jpg
118,Islam Dan Iman : Aturan-Aturan Pokok,Dr. Muhammad Syahrur / Sabrur R.Soenardi,Penerbit Jendela,2017,"[""Indonesian""]",placeholder,covers/2017_Islam_Dan_Iman_Aturan-Aturan_Pokok_PLACEHOLDER.jpg
119,Sekitar Masalah Thariqat (Naqsyabandiyah),Drs. H. Imron Abu Amar,"""Menara"" Kudus",2017,"[""Indonesian""]",placeholder,covers/2017_Sekitar_Masalah_Thariqat_(Naqsyabandiyah)_PLACEHOLDER.jpg
120,The Meaning Of The Glorious Qur'an Korean Edition,,Persatuan Kebajikan Khawaja Moinuddin Chisti (Kuala Lumpur & Selangor),2017,"[""Korean""]",placeholder,covers/2017_The_Meaning_Of_The_Glorious_Qur'an_Korean_Edition_PLACEHOLDER.jpg
121,Terjemahan Al-Quran Bahasa Melayu,,Sam Synergy Media Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Terjemahan_Al-Quran_Bahasa_Melayu_PLACEHOLDER.jpg
122,Meniti Jalan Hidayah Menuju Toriqah Khotmul-Auliya,Sayidi Ahmad Al-Hadi Al-Hasani Al-Maghribi/ Ust Mohd Bakri At-Tijany,,2017,"[""Malay""]",placeholder,covers/2017_Meniti_Jalan_Hidayah_Menuju_Toriqah_Khotmul-Auliya_PLACEHOLDER.jpg
123,Terjemahan Al-Qur'an,,Knowledge Inbound Sdn Bhd,2017,"[""Malay""]",placeholder,covers/2017_Terjemahan_Al-Qur'an_PLACEHOLDER.jpg
124,Wacana Pemikiran Reformis (Jilid Ii),Ahmad Farouk Musa,Islamis Renaissance Front Berhad,2017,"[""Malay""]",placeholder,covers/2017_Wacana_Pemikiran_Reformis_(Jilid_Ii)_PLACEHOLDER.jpg
125,Islam Tanpa Keekstreman : Berhujah Untuk Kebebasan,Mustafa Akyol/ Nur Asyhraff Mohd Noor/ Shuhaib Ar Rumy Ismail & Ahmad Farouk Musa,Islamic Renaissance Front Berhad,2017,"[""Malay""]",placeholder,covers/2017_Islam_Tanpa_Keekstreman_Berhujah_Untuk_Kebebasan_PLACEHOLDER.jpg
